Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 , Roc-Auc   , Distribution                                                             ,Unnamed: 10
,:--------------------------------------------,:----------------------------------------------------------------------------------,:----------,-----------:,------------:,----------:,----------:,:----------,:-------------------------------------------------------------------------,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.87013   ,    0.916667 , 0.942857  , 0.929577  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.896104  ,    0.918919 , 0.971429  , 0.944444  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.647059  ,    0.83871  , 0.577778  , 0.684211  ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.720588  ,    0.709677 , 0.977778  , 0.82243   ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.379747  ,    0.96     , 0.333333  , 0.494845  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.911392  ,    0.922078 , 0.986111  , 0.95302   ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.7       ,    0.529412 , 0.36      , 0.428571  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.475     ,    0.373134 , 1         , 0.543478  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.475     ,    0.373134 , 1         , 0.543478  ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.802632  ,    0.967742 , 0.821918  , 0.888889  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.721519  ,    0.712121 , 0.94      , 0.810345  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.721519  ,    0.694444 , 1         , 0.819672  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.721519  ,    0.694444 , 1         , 0.819672  ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.78481   ,    0.8      , 0.88      , 0.838095  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.582278  ,    0.846154 , 0.431373  , 0.571429  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.683544  ,    0.782609 , 0.705882  , 0.742268  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.712329  ,    1        , 0.704225  , 0.826446  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.329114  ,    0.190476 , 0.857143  , 0.311688  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.278481  ,    0.197183 , 1         , 0.329412  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.278481  ,    0.197183 , 1         , 0.329412  ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.78481   ,    0        , 0         , 0         ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.539474  ,    0.925926 , 0.431034  , 0.588235  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.763158  ,    0.763158 , 1         , 0.865672  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.763158  ,    0.763158 , 1         , 0.865672  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.75      ,    0.767123 , 0.965517  , 0.854962  ,           ,                                                                          ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.181818  ,    0.888889 , 0.114286  , 0.202532  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.0909091 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.0909091 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.0909091 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.181818  ,    0.888889 , 0.114286  , 0.202532  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.0909091 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.0909091 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.338235  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.164557  ,    1        , 0.0833333 , 0.153846  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.164557  ,    1        , 0.0833333 , 0.153846  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.164557  ,    1        , 0.0833333 , 0.153846  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.177215  ,    1        , 0.0972222 , 0.177215  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.164557  ,    1        , 0.0833333 , 0.153846  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, fish and fish products                      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.5625    ,    0.368421 , 0.56      , 0.444444  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, fish and fish products                      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.6875    ,    0.5      , 0.04      , 0.0740741 ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, fish and fish products                      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.6875    ,    0.5      , 0.04      , 0.0740741 ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, fish and fish products                      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.6875    ,    0.5      , 0.04      , 0.0740741 ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, fish and fish products                      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.575     ,    0.378378 , 0.56      , 0.451613  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, fish and fish products                      , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.6875    ,    0.5      , 0.04      , 0.0740741 ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, fish and fish products                      , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.6875    ,    0.5      , 0.04      , 0.0740741 ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.0394737 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, herbs and spices                            , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.43038   ,    0.571429 , 0.4       , 0.470588  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, herbs and spices                            , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.367089  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, herbs and spices                            , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.367089  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, herbs and spices                            , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.367089  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, herbs and spices                            , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.417722  ,    0.558824 , 0.38      , 0.452381  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, herbs and spices                            , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.367089  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, herbs and spices                            , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.367089  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, cereals                                     , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, cereals                                     , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.392405  ,    0.578947 , 0.215686  , 0.314286  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, cereals                                     , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.392405  ,    0.578947 , 0.215686  , 0.314286  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, cereals                                     , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.392405  ,    0.578947 , 0.215686  , 0.314286  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, cereals                                     , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, cereals                                     , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.392405  ,    0.548387 , 0.333333  , 0.414634  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, cereals                                     , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.392405  ,    0.578947 , 0.215686  , 0.314286  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.0273973 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.0273973 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.0273973 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.0273973 ,    0.5      , 0.0140845 , 0.0273973 ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.0273973 ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.506329  ,    0.179487 , 0.5       , 0.264151  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.822785  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.822785  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.822785  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.518987  ,    0.166667 , 0.428571  , 0.24      ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.822785  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.822785  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, bovine                                      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.763158  ,    0.763158 , 1         , 0.865672  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, bovine                                      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.236842  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, bovine                                      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.236842  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, bovine                                      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.236842  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, bovine                                      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.763158  ,    0.763158 , 1         , 0.865672  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, bovine                                      , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.263158  ,    0.75     , 0.0517241 , 0.0967742 ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, bovine                                      , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.236842  ,    0        , 0         , 0         ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, fruits and vegetables                       , _BinaryCLF                                                                        ,           ,  0.480519  ,    0.916667 , 0.471429  , 0.622642  ,           ,                                                                          ,
," nuts, nut products and seeds                ", _BinaryCLF                                                                        ,           ,  0.367647  ,    1        , 0.0444444 , 0.0851064 ,           ,                                                                          ,
, cereals and bakery products                 , _BinaryCLF                                                                        ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  ,           ,                                                                          ,
, fish and fish products                      , _BinaryCLF                                                                        ,           ,  0.65      ,    0.428571 , 0.36      , 0.391304  ,           ,                                                                          ,
, meat and meat products (other than poultry) , _BinaryCLF                                                                        ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           ,                                                                          ,
, herbs and spices                            , _BinaryCLF                                                                        ,           ,  0.367089  ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals                                     , _BinaryCLF                                                                        ,           ,  0.607595  ,    0.635135 , 0.921569  , 0.752     ,           ,                                                                          ,
, poultry meat and poultry meat products      , _BinaryCLF                                                                        ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           ,                                                                          ,
, crustaceans and products thereof            , _BinaryCLF                                                                        ,           ,  0.822785  ,    0        , 0         , 0         ,           ,                                                                          ,
, bovine                                      , _BinaryCLF                                                                        ,           ,  0.289474  ,    1        , 0.0689655 , 0.129032  ,           ,                                                                          ,
